"filename", "language", "CSS", "JavaScript", "XML", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\Result.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 2, 28
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\TableColumn.jsx", "JavaScript JSX", 0, 0, 0, 265, 0, 0, 38, 303
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\Material.module.css", "CSS", 76, 0, 0, 0, 0, 4, 6, 86
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialGroupList.module.css", "CSS", 39, 0, 0, 0, 0, 0, 3, 42
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialItem.module.css", "CSS", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialItemDetails.module.css", "CSS", 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialList.module.css", "CSS", 121, 0, 0, 0, 0, 0, 23, 144
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialModal.module.css", "CSS", 113, 0, 0, 0, 0, 4, 8, 125
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\Result.module.css", "CSS", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\TableColumn.module.css", "CSS", 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calcualteTotalPrice.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calcualteVolume.js", "JavaScript", 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calculatePrice.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calculateWeight.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\materialList.js", "JavaScript", 0, 110, 0, 0, 0, 0, 1, 111
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\materialManager.js", "JavaScript", 0, 161, 0, 0, 0, 0, 9, 170
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\materialGroupValidationSchema.js", "JavaScript", 0, 27, 0, 0, 0, 1, 5, 33
